ID,Name,Intelligence,Strength,Speed,Durability,Power,Combat,Total,FullName,AlterEgos,Aliases,PlaceOfBirth,FirstAppearance,Publisher,Alignment,Gender,Race,Height_cm,Weight_kg,EyeColor,HairColor,Occupation,Base,GroupAffiliation,Relatives,ImageURL
17,Alfred Pennyworth,63,10,17,10,7,55,162,Alfred Thaddeus Crane Pennyworth,,Alfred Beagle,,"Batman #16 (April, 1943)",DC Comics,Good,Male,Human,178,72,Blue,Black,"Butler; Caretaker, former Actor; Field Medic; Government Agent",Wayne Manor; Batcave; Gotham City,"Batman Family, Outsiders","Jarvis Pennyworth (father, deceased), Wilfred Pennyworth (older brother), Daphne Pennyworth (niece); Bruce Wayne (Batman, legal ward)",https://www.superherodb.com/pictures2/portraits/10/100/628.jpg
18,Alien,50,28,42,90,57,60,327,Xenomorph,,,Your chest :),Alien (1979),Dark Horse Comics,Bad,Male,Xenomorph XX121,244,169,,No Hair,,,,Alien Queen (mother),https://www.superherodb.com/pictures2/portraits/10/100/10449.jpg
19,Allan Quatermain,,,,,,,,,,,,(original version) King Solomon's Mines; (this version) League of Extraordinary Gentlemen #1 (America's Best Comics),Wildstorm,Good,Male,,0,0,,,(former) hunter; (current) agent of the British government,"The Secret Wing of the British Museum, London",League of Extraordinary Gentlemen,,https://www.superherodb.com/pictures2/portraits/10/100/630.jpg
20,Amazo,63,100,83,100,100,100,546,,,Professor Ivos Amazing Android; Timazo; Humazo; Hourmazo,,"Brave and the Bold #30 (July, 1960)",DC Comics,Bad,Male,Android,257,173,Red,,,,Formerly the Secret Society of Super Villains,"Professor Ivo (creator), Kid Amazo (cyborg offspring)",https://www.superherodb.com/pictures2/portraits/10/100/1390.jpg
21,Ammo,,,,,,,,,,,,"Daredevil #252 (March, 1988)",Marvel Comics,Bad,Male,Human,188,101,Brown,Black,"Gang leader , criminal , former soldier",New York City,former leader of the Wildboys,,https://www.superherodb.com/pictures2/portraits/10/100/184.jpg
22,Ando Masahashi,,,,,,,,Ando Masahashi,,Huggerz69; Sidekick,,,NBC - Heroes,Good,Male,,0,0,,,Yamagato Industries computer programmer,,,,https://www.superherodb.com/pictures2/portraits/10/100/1310.jpg
23,Angel,75,30,58,90,100,75,428,Liam,,Angelus; Twilight,,,Dark Horse Comics,Good,Male,Vampire,0,0,,,,,,"Kathy (sister), Connor (son), Twilight (""child"")",https://www.superherodb.com/pictures2/portraits/10/100/10431.jpg
24,Angel,63,13,46,64,28,42,256,Warren Kenneth Worthington III,Archangel,Formerly Death; Dark Angel; Angel; Avenging Angel; Archangel,"Centerport, Long Island, New York",X-Men #54-56 (1969),Marvel Comics,Good,Male,,183,68,Blue,Blond,"Adventurer, chairman & principal stockholder of Worthington Industries, former terrorist",,"X-Men, Mutantes Sans Fronti�res, Hellfire Club; formerly Secret Defenders, X-Factor/X-Terminators, Horsemen of Apocalypse, Defenders, Death's champions, Champions of Los Angeles","Warren Kenneth Worthington Sr. (grandfather, deceased), Warren Kenneth Worthington Jr. (father, deceased), Kathryn Worthington (mother, deceased), Burtram ""Burt"" Worthington (Dazzler, paternal uncle), unnamed cousin",https://www.superherodb.com/pictures2/portraits/10/100/829.jpg
25,Angel Dust,38,55,23,42,17,30,205,Christina,,Angel; Dusty,,Morlocks #1,Marvel Comics,Good,Female,Mutant,165,57,Yellow,Black,,"Chicago, Illinois",,,https://www.superherodb.com/pictures2/portraits/10/100/10405.jpg
26,Angel Salvadore,38,10,28,28,56,60,220,Angel Salvadore Bohusk,Tempest,Tempest,,"New X-Men #118 (November, 2001)",Marvel Comics,Good,Female,,163,54,Brown,Black,,,Formerly New Warriors; Special Class,Tito Bohusk (son); Axel Bohusk (son); Kara Bohusk (daughter); three other unidentified children;,https://www.superherodb.com/pictures2/portraits/10/100/1406.jpg
27,Angela,,97,,,,,,,,,,,Image Comics,Bad,Female,,0,0,,,,,,,https://www.superherodb.com/pictures2/portraits/10/100/1070.jpg
28,Animal Man,56,48,47,85,73,80,389,Bernhard Baker,,The Human Zoo; A-Man; The Man with Animal Powers,,"Strange Adventures #180 (September, 1965)",DC Comics,Good,Male,Human,183,83,Blue,Blond,,"San Diego, California","Formerly Animal Masters, Forgotten Heroes, Justice League of America, Justice League Europe","Ellen Frazier (wife), Cliff Baker (son), Maxine Baker (daughter), unnamed second daughter, Frank Baker, Jr. (father), Phyllis Baker (mother), unnamed sister, Frank, Sr (grandfather), Teddy (great grandfather), Sherman (great-great grandfather), Jack (great-great-great grandfather), Mary Frazier (mother-in-law), Dudley (uncle-in-law), Annie Cassidy (mother of second daughter), Lucy Cassidy (half-sister of second daughter)",https://www.superherodb.com/pictures2/portraits/10/100/632.jpg
29,Annihilus,75,80,47,56,59,64,381,Annihilus,,The Living Death That Walks; Lord of the Negative Zone,"Planet of Arthros, Sector 17A, Negative Zone",Fantastic Four Annual #6 (1968),Marvel Comics,Bad,Male,,180,90,Green,No Hair,"Conqueror, scavenger",,Sometime ally of Blastaar,Annihilus is a series of clonal scions,https://www.superherodb.com/pictures2/portraits/10/100/1307.jpg
30,Ant-Man,100,18,23,28,32,32,233,Hank Pym,"Giant-Man, Goliath, Wasp II, Yellowjacket",Hank Pym; Doctor Pym; Ant-Man; Goliath; Yellowjacket; Wasp; Earth's Scientist Supreme,"Elmsford, New York","Tales to Astonish #27 (January, 1962) (as Hank Pym)  Tales to Astonish #35 (September, 1962) (as Ant-Man)",Marvel Comics,Good,Male,Human,211,122,Blue,Blond,"Adventurer, Biochemist, former manager of Avengers Compound","Avengers Compound, Los Angeles; formerly Infinite Avengers Mansion; Captive aboard a Skrull ship; Avengers Mansion, New York City, New York","Avengers Academy, Secret Avengers; formerly Mighty Avengers, Avengers (founding member), Defenders, Future Iron Man's Team",,https://www.superherodb.com/pictures2/portraits/10/100/857.jpg
31,Ant-Man II,75,18,17,40,53,30,233,Scott Lang,,Myrmidon; Scott Edward Harris Lang,"Coral Gables, Florida","Avengers Vol 1 #181 (March, 1979)",Marvel Comics,Good,Male,Human,183,86,Blue,Blond,"Electronics Technician,","South Beach, Miami, Florida; formerly Farmingdale, Long Island, New York","Ant-Man Security Solutions; formerly Future Foundation (leader), Fantastic Four (leader), Defenders, Avengers, Heroes For Hire, Stark Industries","Cassandra Eleanor Lang (daughter), Ruth (sister), Carl (brother-in-law), Peggy Rae (ex-wife)",https://www.superherodb.com/pictures2/portraits/10/100/166.jpg
32,Anti-Monitor,88,100,50,100,100,90,528,,,Monitor; Mobius,Moon of Qward,Crisis on Infinite Earths #4,DC Comics,Bad,Male,God / Eternal,,0,Yellow,No Hair,,"Qward, Antimatter Universe","Sinestro Corps, Weaponers of Qward, Thunderers of Qward, Shadow Demons","Monitor (""brother""), The Monitors",https://www.superherodb.com/pictures2/portraits/10/100/1292.jpg
33,Anti-Spawn,,58,,,,,,Jason Wynn,,Redeemer,,Spawn #16,Image Comics,Bad,Male,,0,0,,,,,,,https://www.superherodb.com/pictures2/portraits/10/100/1071.jpg
34,Anti-Venom,75,60,65,90,96,84,470,Eddie Brock,"Toxin, Venom",Eddie; Edwin Brock; Venom; Lethal Protector; White Venom; 998th,"San Francisco, California",Amazing Spider-Man #569 (as Anti-Venom),Marvel Comics,,Male,Symbiote,229,358,Blue,Blond,Vigilante; former journalist for the Daily Globe,"New York, New York",,"Carl Brock (father, estranged), Janine Brock (mother, deceased), Mary Brock (sister), Ann Weying (ex-wife, deceased), Symbiotes' relatives: Toxin Symbiote (current symbiote, former grandson), Venom Symbiote (former symbiote, grandfather, former brother), Agony, Phage, Riot, Lasher (uncles, former sons), Scorn (sister, former niece), Carnage (father, former son), Scream (aunt, former daughter, deceased), Hybrid (uncle, former son, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/1485.jpg
35,Apocalypse,100,100,33,100,100,60,493,En Sabah Nur,,The Eternal One; the High Lord; Set; Huitxilopochti; Sauru; Kali-Ma,"Akkaba, Egypt","X-Factor #5 (June, 1986)",Marvel Comics,Bad,Male,Mutant,213,135,Red,Black,Student; formerly Conqueror; Scientist,"Celestial Ship, mobile","Clan Akkaba, employer of Apocalypse's Horsemen, Dark Riders, former employer of the Alliance of Evil, 198","Baal of the Crimson Sands (adopted father, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/852.jpg
36,Aquababy,10,16,12,14,37,14,103,"Arthur Curry, Jr.",,,,"Aquaman #23 (October, 1965)",DC Comics,Good,Male,,0,0,Blue,Blond,,Atlantis,Aquaman Family,"Aquaman (Orin/Arthur Curry) (father); Mera (mother); Koryak (half-brother); A.J. (half-brother); Atlan (grandfather); Tom Curry (adoptive grandfather, deceased); Orm Marius (uncle); Kordax (ancestor, deceased); Arthur Joseph Curry (adoptive cousin)",https://www.superherodb.com/pictures2/portraits/10/100/1389.jpg
37,Aqualad,63,44,42,75,89,60,373,Garth,,,"Poseidonis, Atlantis","Adventure Comics #269 (February, 1960)",DC Comics,Good,Male,Atlantean,178,106,Blue,Black,"Adventurer; Magician, former Sidekick",Atlantis,"Aquaman Family; formerly Black Lantern Corps, Sentinels of Magic, Teen Titans","Cerdian (son), Dolphin (wife), Berra (mother), Thar (father), Slizzath (uncle) Donna (grand-daughter)",https://www.superherodb.com/pictures2/portraits/10/100/1395.jpg
38,Aquaman,81,85,79,80,100,80,505,Orin,,Dweller in the Depths; Swimmer; Waterbearer; Mental Man; Aquaboy; Water Wraith,Atlantis,"More Fun Comics #73 (November, 1941)",DC Comics,Good,Male,Atlantean,185,146,Blue,Blond,"Protector of the Seas and Oceans, King of Poseidonis","Atlantean Royal Palace; Poseidonis, Atlantis","Justice League, Aquaman Family, Atlantean Royal Family; formerly Black Lantern Corps, Justice League International, Justice League Detroit, U.N.","Koryak (son), Arthur Curry, Jr. (son), A.J. (son), Orm Marius (half-brother), Debbie Perkins (half-sister), Drin (adopted brother), Atlanna (mother), Atlan (father), Atlena (aunt), Porm (adopted mother), Tom Curry (adopted father), Mera (wife), Hila (sister-in-law), Haumond (uncle), Kraken (uncle), Honsu (grandfather), Lorelei (grandmother), Manu (ancestor), Nala (ancestor), Fatima (ancestor), Kalunga (ancestor), Gana (ancestor), Fiona (ancestor), Regin (ancestor), Kordax (ancestor), Bazil (ancestor), Cora (ancestor), Illya (ancestor), Dardanus (ancestor), Alloroc (ancestor), Cole (ancestor), Narmea (ancestor), Orin (ancestor), Loma (ancestor), Shalako (ancestor), Thorvall (ancestor)",https://www.superherodb.com/pictures2/portraits/10/100/634.jpg
39,Arachne,50,48,50,70,71,70,359,Julia Carpenter,,Spider-Woman; Madame Web,"Los Angeles, California",Marvel Super Heroes Secret Wars #6,Marvel Comics,Good,Female,Human,175,63,Blue,Blond,"Adventurer, fugitive, former government agent","Mobile; formerly Denver, Colorado; formerly Avengers Compound, Los Angeles, California","Omega Flight, formerly Commission on Superhuman Activities , Freedom Force , Avengers , Secret Defenders , Force Works , Queen�s Vengeance , West Coast Avengers, Secret Avengers (Civil War)","Rachel Carpenter (daughter), Walter Cornwall (father), Elizabeth Cornwall (mother), Larry Carpenter (ex-husband, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/882.jpg
40,Archangel,63,13,58,64,35,42,275,Warren Kenneth Worthington III,Angel,War; Dark Angel; Death; Avenging Angel,"Centerport, Long Island, New York","X-Men #1 (September, 1963)",Marvel Comics,Good,Male,Mutant,183,68,Blue,Blond,"Adventurer, Chairman & principal stockholder of Worthington Industries, Multi-Millionaire, Heir, former terrorist",,X-Men (founding member); X-Force; Mutantes Sans Fronti�res; Hellfire Club; formerly X-Club (founding member); Death's champions; Secret Defenders; X-Factor/X-Terminators (founding member); Horsemen of Apocalypse; Defenders; Champions of Los Angeles (fou,"Wallace Worthington (paternal ancestor, deceased), Warren Worthington Sr. (paternal grandfather, deceased), Warren Worthington Jr. (father, deceased), Kathryn Worthington (mother, deceased), Burt Worthington (paternal uncle), Mimi (maternal aunt), unnamed distant cousin",https://www.superherodb.com/pictures2/portraits/10/100/838.jpg
41,Arclight,38,63,23,42,52,70,288,Philippa Sontag,,,Vietnam,"(In shadow) Uncanny X-Men #210 (1986), (fully) X-Factor #10 (1986)",Marvel Comics,Bad,Female,,173,57,Violet,Purple,Terrorist,,"Marauders formerly, 198, Femizons",,https://www.superherodb.com/pictures2/portraits/10/100/832.jpg
42,Ardina,63,100,100,80,100,25,468,Ardina,,,,The Order #4,Marvel Comics,Good,Female,Alien,193,98,White,Orange,,,,"Norrin Radd (Silver Surfer, clonal source), Clea (creator)",https://www.superherodb.com/pictures2/portraits/10/100/10132.jpg
43,Ares,75,82,35,80,84,101,457,,,God of War; Mister Talon; Mars; Warhawk,,Thor #129,Marvel Comics,Good,Male,,185,270,Brown,Brown,,"Avengers Tower, formerly Olympus","Avengers, Mighty Avengers, Olympic Pantheon; Warhawks","Zeus (father), Hera (mother), Enyo (wife), Deimos, Phobos, Alexander (sons), Neptune, Pluto (uncles), Demeter, Hestia (aunts), Hephaestus (brother), Apollo, Dionysus, Hercules, Hermes(half-brothers), Artemis, Pallas Athena, Venus, (half-sisters)",https://www.superherodb.com/pictures2/portraits/10/100/1118.jpg
44,Ariel,50,10,12,14,94,28,208,Ariel,,,,Fallen Angels #1 (1987),Marvel Comics,Good,Female,,165,59,Purple,Pink,"Leader, refugee alien; former alien mutant-hunter and hedonist",,"X-Men, Formerly Fallen Angels",,https://www.superherodb.com/pictures2/portraits/10/100/1348.jpg
45,Armor,50,63,12,80,55,54,314,Hisako Ichiki,,X-Girl; Kid,,Astonishing X-Men #4 (2004),Marvel Comics,Good,Female,,163,50,Black,Black,"Adventurer, student",,"X-Men, formerly: Xavier Institute Student Body, New X-Men",,https://www.superherodb.com/pictures2/portraits/10/100/1347.jpg
46,Arsenal,,54,,,,,,"Roy William Harper, Jr.",Speedy,,,,DC Comics,Good,Male,Human,0,0,,,,,,,https://www.superherodb.com/pictures2/portraits/10/100/1014.jpg
47,Astro Boy,,90,,,,,,Atom,,,,,,Good,Male,,0,0,Brown,Black,,,,,https://www.superherodb.com/pictures2/portraits/10/100/1159.jpg
48,Atlas,63,80,25,100,98,50,416,Erik Josten,"Goliath, Power Man, Smuggler",Power Man; Smuggler; Goliath; Shatterfist; Intruder from Beyond; Edward Jantzen,"Milwaukee, Wisconsin",Incredible Hulk #449,Goliath,Good,Male,Mutant,183,101,Brown,Red,"Adventurer; former professional criminal, mercenary, dock worker, soldier",,"Thunderbolts, formerly Revengers, Defenders (New Jersey Initiative team), Masters of Evil, Maggia, Grim Reaper's Lethal Legion, Mandarin's Minions, Emissaries of Evil; former partner of Citizen V (Dallas Riordan) and Swordsman, Count Nefaria's Lethal Legi","Unidentified parents (deceased), Carl (brother, deceased), Conrad (brother), Lindy (sister, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/878.jpg
49,Atlas,63,100,42,100,27,80,412,,,Atlas the Great; Atlas the Untamed,Crystal Mountain,Action Comics #121,DC Comics,Bad,Male,God / Eternal,198,126,Blue,Brown,,"Formely; Hyssa, Metropolis",,,https://www.superherodb.com/pictures2/portraits/10/100/10838.jpg
50,Atom,,,,,,,,Albert Pratt,,Little Superman; the Mighty Mite,,All American Comics #19,DC Comics,Good,Male,,178,68,Blue,Red,"Adventurer, Retired Professor of Nuclear Physics","GBS Building, Gotham City (former) Calvin College on Earth-Two",formerly Justice Society of America; formerly All-Star Squadron,"Mary James (wife, deceased), Grant Albert Emerson (Damage, son), Albert Rothstein (aka Nuklon / Atom-Smasher, godson)",https://www.superherodb.com/pictures2/portraits/10/100/934.jpg
51,Atom,,,,,,,,,,,,,DC Comics,Good,Male,,0,0,,,,,,,https://www.superherodb.com/pictures2/portraits/10/100/1379.jpg
52,Atom Girl,38,10,23,28,38,42,179,Salu Digby,,Shrinking Violet,,Teen Titans/Legion Special #1 (2004),DC Comics,Good,Female,,168,54,Black,Black,,"United Planets, 31st century",Legion of Super-Heroes,,https://www.superherodb.com/pictures2/portraits/10/100/1180.jpg
53,Atom II,88,10,33,45,40,60,276,Ray Palmer,,The Mighty Mite; the Tiny Titan; the World's Smallest Hero,,Showcase #34,DC Comics,Good,Male,Human,183,81,Brown,Auburn,Physics Professor,Ivy Town,"Justice League of America, formerly; Suicide Squad, Teen Titans","Jean Loring (ex-wife, deceased), Princess Laethwen (wife, deceased), Danny Palmer (brother, deceased), David Palmer (father), Susan Palmer (mother, deceased), David Palmer (uncle)",https://www.superherodb.com/pictures2/portraits/10/100/938.jpg
54,Atom III,,,,,,,,Adam Cray,,,,Suicide Squad (Volume 1) #44,DC Comics,Good,Male,,0,0,,Red,,,Suicide Squad,"Senator Cray (father, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/939.jpg
55,Atom IV,,,,,,,,Ryan Choi,,,,Brave New World #1,DC Comics,Good,Male,,0,72,Brown,Black,Professor of nuclear physics at Ivy University,Ivy Town,Lighter Than Air Society,Professor Choi (father); mother (deceased); sister (unnamed); Jia Choi (descendent).,https://www.superherodb.com/pictures2/portraits/10/100/940.jpg
56,Aurora,63,10,96,60,74,56,359,Jeanne-Marie Beaubier,,Sister Beaubier,"Montreal, Quebec, Canada",X-Men #121 (1979),Marvel Comics,Good,Female,Mutant,180,63,Blue,Black,"Adventurer; former terrorist, nun, history/geography teacher","Laval, Quebec, Canada","Alpha Flight, Alpha Flight (Space Program), Royal Canadian Mounted Police; formerly Weapon X, ally of the Havok's Brotherhood, Headbangers , Children of the Vault, X-Men (interim member)","Jean-Baptiste Beaubier (father, deceased), unidentified mother (deceased), Jean-Paul Beaubier (Northstar, twin brother) Joanna Beaubier (adopted niece, deceased); Lois and Genevieve Martin (first cousins once removed/adopted parents, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/1289.jpg
57,Azazel,50,11,47,95,100,80,383,,,Semihazah; Duma; Keriel; Mastema; Beliar; Gadreel; Beelzebub; Satan,"Isla des Demonas, Caribbean Sea",Uncanny X-Men #428 (2003),Marvel Comics,Bad,Male,Neyaphem,183,67,Yellow,Black,Leader of the Neyaphem,"Brimstone Dimension; formerly La Isla des Demonas, Bermuda",,"Kurt Wagner (Nightcrawler, son), Nils Styger (Abyss, son), Kiwi Black (son), numberous other offspring (deceased)",https://www.superherodb.com/pictures2/portraits/10/100/1481.jpg
58,Azrael,63,18,17,20,35,80,233,Michael Washington Lane,,Bat-Devil; Bat-Ghost,Gotham City,"Batman #672 (February, 2008)",DC Comics,Good,Male,Human,0,0,Brown,Black,"Former Police Officer, vigilante",,Order of St. Dumas; formerly Gotham City Police Department; Three Ghosts of Batman,"Mitchell Lane (father; deceased), Barbara Lane (mother; deceased), Marion Lane (brother; deceased), Gwendolyn Lane (sister; deceased), Chante Coles (wife; deceased), Henry Mitchell Lane (son; deceased), Jenny Lane (Sister-in-law)",https://www.superherodb.com/pictures2/portraits/10/100/1532.jpg
59,Aztar,,98,,,,,,Aztar,Spectre,Spirit of Vengeance,,More Fun Comics #52 (February 1940),Spectre,Good,Male,,0,0,,,,,The Presence,,https://www.superherodb.com/pictures2/portraits/10/100/1012.jpg
60,Bane,88,38,23,56,51,95,351,,,,,"Batman: Vengeance of Bane #1 (January, 1993)",DC Comics,Bad,Male,Human,203,180,,,,Santa Prisca,"Suicide Squad, The Secret Society of Super Villains",King Snake (father),https://www.superherodb.com/pictures2/portraits/10/100/637.jpg
61,Banshee,50,10,58,40,63,70,291,Sean Cassidy,,Death,"Cassidy Keep, Ireland","X-Men #28 (January, 1967)",Marvel Comics,Good,Male,Human,183,77,Green,Strawberry Blond,"Currently founder and director of operation for X-Corps, formerly Adventurer and Headmaster at the Massachusetts Academy, in charge of Generation X, Interpol Inspector and Agent, freelance detective, professional criminal, involuntary operative for Factor","Muir Island, off the coast of Scotland. formerly Massachusetts Academy; Xavier Institute","Currently X-Corps, formerly Generation X, Factor Three, X-Men","Maeve Rourke Cassidy (wife, deceased), Thomas (Black Tom, cousin), Theresa Rourke (Siryn, daughter)",https://www.superherodb.com/pictures2/portraits/10/100/26.jpg
62,Bantam,25,53,23,54,21,56,232,Roberto Velasquez,,,,"Civil War: Front Line #3 (September, 2006)",Marvel Comics,Good,Male,,165,54,Brown,Black,"Adventurer, boxing trainer, former boxer",,"Captain America, Pro-Registration forces",,https://www.superherodb.com/pictures2/portraits/10/100/229.jpg
63,Batgirl,88,11,33,40,34,90,296,Barbara Gordon,Oracle,Oracle; Bluebelle,,Detective Comics #359,DC Comics,Good,Female,Human,170,57,Green,Red,,"Gotham City, formerly Metropolis, Platinum Flats",,"James Gordon (father) � Barbara Eileen (mother) � James Gordon, Jr. (brother)",https://www.superherodb.com/pictures2/portraits/10/100/1111.jpg
